backen (Dat) Akk	backt / bäckt	backte / buk	hat gebacken
hängen Situativ-Erg.	hängt	hing	hat gehangen
hängen Akk Dir.-Erg.	hängt	hängte	hat gehängt
heben Akk	hebt	hob	hat gehoben
heißen (2 x Nom.-Erg.!)	heißt	hieß	hat geheißen
helfen Dat	hilft	half	hat geholfen
kennen Akk	kennt	kannte	hat gekannt
klingen	klingt	klang	hat geklungen
kneifen (Akk)	kneift	kniff	hat gekniffen
kommen Dir.Erg.	kommt	kam	ist gekommen
kriechen (Dir.-Erg.)	kriecht	kroch	ist gekrochen
laden Akk	lädt	lud	hat geladen
lassen Akk	lässt	ließ	hat gelassen
laufen (Dir.-Erg.)	läuft	lief	ist gelaufen
leiden an / unter	leidet	litt	hat gelitten
leihen Dat Akk	leiht	lieh	hat geliehen
lesen Akk	liest	las	hat gelesen
liegen Situativ-Erg.	liegt	lag	hat gelegen
lügen	lügt	log	hat gelogen
meiden Akk	meidet	mied	hat gemieden
messen Akk	misst	maß	hat gemessen
misslingen Dat (Inf.)	misslingt	misslang	ist misslungen
nehmen (Dat) Akk	nimmt	nahm	hat genommen
nennen (Dat) Akk	nennt	nannte	hat genannt
pfeifen (Akk)	pfeift	pfiff	hat gepfiffen
preisen Akk	preist	pries	hat gepriesen
quellen	quillt	quoll	ist gequollen
raten Dat Akk / Inf.	rät	riet	hat geraten
reiben Akk	reibt	rieb	hat gerieben
reißen Akk (in/an + Akk)	reißt	riss	hat gerissen
reiten (Akk)	reitet	ritt	ist (hat) geritten
rennen Dir.-Erg.	rennt	rannte	ist gerannt
riechen (Akk)	riecht	roch	hat gerochen
ringen Akk	ringt	rang	hat gerungen
rinnen Dir.-Erg.	rinnt	rann	ist geronnen
rufen Akk	ruft	rief	hat gerufen
saufen (Akk)	säuft	soff	hat gesoffen
schaffen Akk (Inf.)	schafft	schuf	hat geschaffen
scheiden	scheidet	schied	hat geschieden
scheinen	scheint	schien	hat geschienen
scheren Akk	schert	schor	hat geschoren
schieben Akk Dir.-Erg.	schiebt	schob	hat geschoben
schießen (Akk)	schießt	schoss	hat geschossen
s. schinden	schindet	schund	hat geschunden
schlafen (Situativ-Erg.)	schläft	schlief	hat geschlafen
schlagen Akk	schlägt	schlug	hat geschlagen
schleichen	schleicht	schlich	ist geschlichen
schließen Akk	schließt	schloss	hat geschlossen
schlingen Akk	schlingt	schlang	hat geschlungen
schmeißen Akk (Dir.-Erg.)	schmeißt	schmiss	hat geschmissen
schmelzen	schmilzt	schmolz	ist/hat geschmolzen
schneiden (Dat) Akk	schneidet	schnitt	hat geschnitten
schreiben (Dat) Akk	schreibt	schrieb	hat geschrieben
schreien	schreit	schrie	hat geschrien
schreiten	schreitet	schritt	ist geschritten
schweigen	schweigt	schwieg	hat geschwiegen
schwellen	schwillt	schwoll	ist geschwollen
schwimmen	schwimmt	schwamm	ist geschwommen
schwinden (Dat / Akk)	schwindet	schwand	ist geschwunden
schwingen	schwingt	schwang	hat geschwungen
schwören Dat Akk	schwört	schwor	hat geschworen
sehen Akk	sieht	sah	hat gesehen
sein Situativ-Erg.	ist	war	ist gewesen
senden Dat Akk	sendet	sandte	hat gesandt
singen (Dat) Akk	singt	sang	hat gesungen
sinken	sinkt	sank	ist gesunken
sinnen Dat nach + Dat	sinnt	sann	hat gesonnen;
sitzen Situativ-Erg.	sitzt	saß	hat gesessen
spinnen (Akk)	spinnt	spann	hat gesponnen
sprechen mit + Dat	spricht	sprach	hat gesprochen
sprießen	sprießt	spross	ist gesprossen
springen Dir.Erg.	springt	sprang	ist gesprungen
stechen Akk	sticht	stach	hat gestochen
stehen Situativ-Erg.	steht	stand	hat gestanden
stehlen (Dat) Akk	stiehlt	stahl	hat gestohlen
steigen Dir.-Erg.	steigt	stieg	ist gestiegen
sterben an	stirbt	starb	ist gestorben
stinken (nach + Dat)	stinkt	stank	hat gestunken
streichen Akk	streicht	strich	hat gestrichen
s. streiten mit	streitet	stritt	hat gestritten
tragen Akk	trägt	trug	hat getragen
treffen Akk	trifft	traf	hat getroffen
treiben Situativ-Erg.	treibt	trieb	hat getrieben
treten Akk	tritt	trat	hat getreten
trinken Akk	trinkt	trank	hat getrunken
tun (Dat) Akk	tut	tat	hat getan
verderben (Dat) Akk	verdirbt	verdarb	hat verdorben
vergessen Dat Akk / Inf.	vergisst	vergaß	hat vergessen
verlieren Akk / gegen	verliert	verlor	hat verloren
wachsen	wächst	wuchs	ist gewachsen
waschen (Dat) Akk	wäscht	wusch	hat gewaschen
weichen von + Dat	weicht	wich	ist gewichen
weisen Dat Akk	weist	wies	hat gewiesen
werben um + Akk	wirbt	warb	hat geworben
werden (2 x Nominativ!)	wird	wurde	ist geworden
werfen Akk	wirft	warf	hat geworfen
wiegen	wiegt	wog	hat gewogen
wissen Akk	weiß	wusste	hat gewusst
ziehen (Dat) Akk	zieht	zog	hat gezogen
zwingen Akk zu + Dat	zwingt	zwang	hat gezwungen
